feature,coef,std_err,z,p_value,odds_ratio,ci_low_odds_ratio,ci_high_odds_ratio,significant_0.05
intercept,-5.186214722161841,1.0173783040143156,-5.09762661705912,3.4393836267909705e-07,0.005593138378017663,0.0007614575000427825,0.04108331313815469,True
cycle_length_days,-0.17112863106739376,0.5646305557076267,-0.3030807124012723,0.7618283525579184,0.8427131674053453,0.27864839629368326,2.548607822489909,False
release_sequence,-3.8497008947094313,0.7056015007232419,-5.45591370024509,4.872165337843626e-08,0.02128610227210761,0.005339197938215882,0.0848625870742731,True
commit_count,0.140607025300215,0.3950051871440166,0.35596247815588933,0.7218686652096267,1.1509722561244768,0.5306762504572823,2.4963188633875095,False
pr_count,0.679356847182447,0.42456699082205696,1.6001169706270846,0.10957263686805807,1.9726086353608185,0.8583061243607135,4.533562930356948,False
pct_merged,0.5082721682807059,0.33378499488279595,1.5227531976360373,0.12782046320607643,1.6624163363485516,0.8642040045346838,3.1978885319405226,False
median_time_to_merge_hours,-1.8435581962642849,1.9343373147800371,-0.9530696544898762,0.34055478005042916,0.15825332671797343,0.0035711795441684888,7.012841305669189,False
distinct_contributors,-0.6526371920164029,0.5036700195624851,-1.2957634297616496,0.19505700087221944,0.520670855568797,0.19401293820604426,1.3973199021955605,False
first_time_contributor_share,0.11697945756207183,0.4004616304331121,0.29211152498069487,0.7702013551403981,1.1240963377741116,0.5127713020991641,2.4642419952605015,False
top_contributor_share,-0.14468954635381764,0.28175720131806803,-0.5135256372399921,0.6075836820171865,0.8652908841260393,0.4981103396500141,1.5031374668466022,False
open_bugs_at_release,0.18134204284624209,0.25902847982033034,0.7000853457196142,0.4838740069649847,1.1988251587433767,0.721549874088414,1.991798228849777,False
prior_releases_avg_bugs,-0.1320275810242676,0.2936859227648794,-0.44955365848422674,0.653032309190124,0.8763168250304402,0.49279993944444195,1.5583020945521187,False
repo_kubernetes/kubernetes,4.222046946403831,1.2133256332296063,3.479731104967814,0.0005019172670557293,68.17288781252117,6.321324160466086,735.2166278332301,True
repo_microsoft/vscode,0.878820161078291,0.859540032560811,1.0224307510844364,0.3065770723274932,2.408056910457671,0.44669542040288535,12.98141377579587,False
commit_count_x_first_time_contrib,0.16095177457204288,0.284869761759114,0.5650012608503663,0.5720729065802428,1.1746283204944914,0.6720698781815914,2.052988440786666,False
